0.001,100,[b_0],[b_age],[b_weight]
0.005,100,[b_0],[b_age],[b_weight]
0.01,100,[b_0],[b_age],[b_weight]
0.05,100,[b_0],[b_age],[b_weight]
0.1,100,[b_0],[b_age],[b_weight]
0.5,100,[b_0],[b_age],[b_weight]
1,100,[b_0],[b_age],[b_weight]
5,100,[b_0],[b_age],[b_weight]
10,100,[b_0],[b_age],[b_weight]
[your_choice],[your_choice],[b_0],[b_age],[b_weight]
0.001,100,0.05348806637222144,0.0033840745545208103,0.0033840745545208103
0.005,100,0.2428035280485932,0.01636435689738899,0.01636435689738899
0.01,100,0.4322572670802501,0.03140598212727196,0.03140598212727196
0.05,100,1.0092732192307765,0.11522296559332972,0.11522296559332972
0.1,100,1.089969183119605,0.1645273415923606,0.1645273415923606
0.5,100,1.0964608113920533,0.20056649045003316,0.20056649045003316
1,100,1.0964608113924048,0.20059412041313474,0.20059412041313474
5,100,-4.4577839860091117e+17,-111.65860192393262,-111.65860192393262
10,100,-1.7619445918655362e+60,-4.683156491691431e+44,-4.683156491691431e+44
0.75,100,1.0964608113924048,0.20059388536014575,0.20059388536014575
1,100,1.0964608113924048,0.20059412041313474,0.20059412041313474
1,100,1.0964608113924048,0.20059412041313474,0.20059412041313474
1,100,1.0964608113924048,0.20059412041313474,0.20059412041313474
1,100,1.0964608113924048,0.20059412041313474,0.20059412041313474
